Day, Month, Time_Start, Time_End, N_Dogs, Weather, Temperature, Route
Monday, January, 14:37, 15:20, 19, ?, ?, ?
Tuesday, January, 13:58, 15:00, 26, ?, ?, ?
Wednesday, January, 14:05, 15:00, 16, ?, ?, ?
Thursday, January, 14:04, 14:54, 6, ?, ?, ?
Thursday, January, 15:52, 16:12, 10, ?, ?, ?
Monday, February, 14:30, 15:24, 21, ?, ?, ?
Wednesday, February, 14:38, 15:44, 33, ?, ?, ?
Thursday, February, 14:12, 15:02, 23, ?, ?, ?
Monday, February, 14:00, 15:00, 26, ?, ?, ?
Tuesday, February, 14:40, 15:30, 10, ?, ?, ?
Wednesday, February, 15:20, 16:20, 42, ?, ?, ?
Thursday, February, 09:35, 09:55, 4, ?, ?, ?
Thursday, February, 14:50, 15:38, 22, ?, ?, ?
Friday, February, 09:39, 09:58, 11, ?, ?, ?
Friday, February, 14:22, 14:47, 3, ?, ?, ?
Saturday, February, 09:48, 10:05, 9, ?, ?, ?
Saturday, February, 14:50, 15:43, 13, ?, ?, ?
Sunday, February, 09:00, 09:20, 11, ?, ?, ?
Sunday, February, 15:07, 15:50, 23, ?, ?, ?
Monday, February, 10:29, 10:48, 5, ?, ?, ?
Wednesday, February, 09:37, 09:57, 9, ?, ?, ?
Wednesday, February, 14:50, 15:20, 8, ?, ?, ?
Thursday, February, 09:08, 09:28, 7, ?, ?, ?
Thursday, February, 14:38, 15:03, 4, ?, ?, ?
Friday, February, 09:10, 09:27, 6, ?, ?, ?
Saturday, February, 09:30, 09:49, 4, ?, ?, ?
Sunday, February, 15:05, 15:35, 12, ?, ?, ?
Monday, February, 09:47, 10:00, 2, ?, ?, ?
Monday, February, 15:02, 15:41, 14, ?, ?, ?
Friday, February, 14:29, 15:29, 29, ?, ?, ?
Saturday, February, 14:59, 15:59, 16, ?, ?, ?
Sunday, March, 14:10, 14:52, 8, ?, ?, ?
Thursday, March, 09:18, 09:40, 1, ?, ?, ?
Thursday, March, 14:20, 14:46, 11, ?, ?, ?
Friday, March, 09:18, 09:36, 5, ?, ?, ?
Friday, March, 14:04, 14:34, 8, ?, ?, ?
Saturday, March, 09:10, 09:28, 4, ?, ?, ?
Tuesday, March, 14:48, 15:18, 16, ?, ?, ?
Wednesday, March, 08:42, 09:00, 5, ?, ?, ?
Wednesday, March, 14:42, 15:10, 2, ?, ?, ?
Friday, March, 08:37, 08:56, 4, ?, ?, ?
Saturday, March, 08:44, 09:03, 7, ?, ?, ?
Saturday, March, 14:32, 15:10, 8, ?, ?, ?
Sunday, March, 14:55, 15:38, 14, ?, ?, ?
Monday, March, 14:41, 15:14, 16, ?, ?, ?
Tuesday, March, 08:40, 08:54, 1, ?, ?, ?
Tuesday, March, 15:14, 15:53, 9, ?, ?, ?
Wednesday, March, 09:52, 10:04, 2, ?, ?, ?
Wednesday, March, 15:15, 15:43, 2, ?, ?, ?
Thursday, March, 08:52, 09:15, 5, ?, ?, ?
Thursday, March, 15:01, 15:40, 2, ?, ?, ?
Friday, March, 08:57, 09:10, 5, ?, ?, ?
Friday, March, 15:12, 15:36, 3, ?, ?, ?
Saturday, March, 09:32, 09:52, 5, ?, ?, ?
Saturday, March, 15:12, 15:50, 9, ?, ?, ?
Wednesday, March, 08:52, 09:20, 5, ?, ?, ?
Wednesday, March, 14:43, 15:25, 16, ?, ?, ?
Thursday, March, 14:48, 15:28, 9, ?, ?, ?
Friday, March, 10:33, 10:54, 6, ?, ?, ?
Friday, March, 15:15, 15:54, 20, ?, ?, ?
Wednesday, March, 15:04, 15:32, 6, ?, ?, ?
Saturday, March, 10:15, 10:28, 7, ?, ?, ?
Saturday, March, 15:25, 16:00, 8, ?, ?, ?
Wednesday, March, 10:00, 10:19, 7, Cloudy, Cold, Morning
Wednesday, March, 15:16, 16:09, 28, Cloudy, Cold, Neighbourhoods
Thursday, March, 10:22, 10:45, 6, Sunny, Cold, Morning
Thursday, March, 15:37, 16:22, 13, Sunny, Cold, Neighbourhoods
Friday, March, 10:17, 10:40, 2, Sunny, Cold, Morning
Friday, March, 15:16, 16:01, 13, Sunny, Mild, Short
Saturday, March, 09:38, 09:59, 2, Sunny, Cold, Morning
Saturday, March, 15:42, 16:30, 16, Cloudy, Cold, Neighbourhoods
Sunday, March, 09:30, 09:50, 9, Cloudy, Mild, Morning
Sunday, March, 14:18, 14:45, 3, Rainy, Mild, Short
Monday, March, 10:02, 10:17, 2, Sunny, Cold, Morning
Monday, March, 15:18, 15:59, 21, Sunny, Cold, Neighbourhoods
Tuesday, March, 10:20, 10:41, 2, Cloudy, Mild, Morning
Tuesday, March, 14:41, 15:25, 10, Sunny, Mild, Short
Wednesday, April, 10:26, 10:35, 1, Rainy, Cold, Morning
Wednesday, April, 15:24, 15:47, 6, Rainy, Mild, Short
Thursday, April, 11:24, 11:49, 7, Cloudy, Mild, Morning
Thursday, April, 15:24, 16:01, 9, Rainy, Mild, Short
Friday, April, 10:17, 10:39, 1, Cloudy, Mild, Morning
Friday, April, 15:27, 16:09, 18, Sunny, Mild, Short
Saturday, April, 09:37, 10:04, 6, Sunny, Mild, Morning
Saturday, April, 15:20, 16:08, 24, Sunny, Mild, Neighbourhoods
Sunday, April, 09:16, 09:36, 4, Sunny, Mild, Morning
Sunday, April, 15:04, 15:40, 24, Sunny, Mild, Neighbourhoods
Monday, April, 10:11, 10:33, 7, Sunny, Mild, Morning
Monday, April, 14:41, 15:26, 17, Sunny, Warm, Neighbourhoods
Tuesday, April, 10:01, 10:19, 1, Cloudy, Mild, Morning
Tuesday, April, 15:04, 15:44, 12, Sunny, Mild, Short
Wednesday, April, 10:06, 10:27, 3, Sunny, Mild, Morning
Wednesday, April, 14:48, 15:37, 16, Sunny, Warm, Neighbourhoods
Thursday, April, 09:34, 09:58, 8, Sunny, Mild, Morning
Thursday, April, 15:08, 15:50, 7, Sunny, Warm, Short
Friday, April, 10:11, 10:30, 2, Cloudy, Mild, Morning
Friday, April, 15:12, 15:58, 19, Cloudy, Mild, Neighbourhoods
Saturday, April, 10:15, 10:31, 6, Cloudy, Mild, Morning
Saturday, April, 14:54, 15:42, 5, Cloudy, Mild, Short
Sunday, April, 07:40, 07:53, 2, Cloudy, Mild, Morning
Sunday, April, 15:11, 15:49, 7, Cloudy, Mild, Short
Monday, April, 10:06, 10:19, 1, Rainy, Cold, Morning
Monday, April, 15:03, 15:51, 20, Cloudy, Mild, Neighbourhoods
Tuesday, April, 09:45, 10:05, 1, Rainy, Mild, Morning
Tuesday, April, 15:24, 15:54, 12, Rainy, Cold, Short
Wednesday, April, 10:21, 10:44, 5, Cloudy, Cold, Morning
